PNODEID,PNODENAME,ALT_NAME,NAME,Latitude,Longitude
116472927,AECO_RESID_AGG,AECO,AECO,39.5,-75
34497125,AEP GEN HUB,AEP,AEP,39.96,-82.99
1269364672,AEPAPCO_RESID_AGG,,AEPAPCO_RESID_AGG,37.27,-79.94
34497127,AEP-DAYTON HUB,,AEP-DAYTON HUB,39.76,-84.19
1269364674,AEPIM_RESID_AGG,,AEPIM_RESID_AGG,41.08,-85.14
1269364671,AEPKY_RESID_AGG,LGE,LGE,38.25,-85.75
1269364670,AEPOHIO_RESID_AGG,,AEPOHIO_RESID_AGG,39.96,-82.99
116472931,APS_RESID_AGG,APS,APS,40.52,-78.4
116013751,ATSI GEN HUB,FE-ATSI,FE-ATSI,41.08,-81.52
116472933,BGE_RESID_AGG,BGE,BGE,39.29,-76.61
33092311,CHICAGO GEN HUB,,CHICAGO GEN HUB,41.88,-87.63
33092313,CHICAGO HUB,,CHICAGO HUB,41.88,-87.63
116472935,COMED_RESID_AGG,COMED,COMED,41.88,-87.63
116472937,DAY_RESID_AGG,DAY,DAY,39.76,-84.19
1069452904,DEOK_RESID_AGG,DEOK,DEOK,39.1,-84.51
116472939,DOM_RESID_AGG,DOM,DOM,37.54,-77.43
35010337,DOMINION HUB,,DOMINION HUB,37.54,-77.43
116472941,DPL_RESID_AGG,DPL,DPL,39.16,-75.52
1304468347,DPLEASTON_RESID_AGG,,DPLEASTON_RESID_AGG,38.77,-76.07
116472943,DUQ_RESID_AGG,DUQ,DUQ,40.44,-79.99
51217,EASTERN HUB,,EASTERN HUB,40.27,-76.88
1127872598,EKPC_RESID_AGG,EKPC,EKPC,37.99,-84.18
1258625176,FEOHIO_RESID_AGG,,FEOHIO_RESID_AGG,41.08,-81.52
1124361945,HUDSONTP,,HUDSONTP,40.72,-74.05
31252687,IMO,,IMO,42.3,-83
116472945,JCPL_RESID_AGG,JCPL,JCPL,40.79,-74.48
81436855,LINDENVFT,,LINDENVFT,40.62,-74.24
116472947,METED_RESID_AGG,METED,METED,40.33,-75.92
40523629,MISO,,MISO,40.5,-87.5
33092315,N ILLINOIS HUB,,N ILLINOIS HUB,41.88,-87.63
56958967,NEPTUNE,,NEPTUNE,40.45,-74.1
4669664,NEW JERSEY HUB,,NEW JERSEY HUB,40.22,-74.74
5413134,NYIS,,NYIS,41.13,-74.17
34497151,OHIO HUB,,OHIO HUB,39.96,-82.99
1709726615,OVEC_RESID_AGG,,OVEC_RESID_AGG,39.06,-83.01
116472949,PECO_RESID_AGG,PECO,PECO,39.95,-75.16
116472951,PENELEC_RESID_AGG,PENELEC,PENELEC,40.52,-78.4
126769999,PENNPOWER_RESID_AGG,PEPCO,PEPCO,38.9,-77.03
116472953,PPL_RESID_AGG,PPL,PPL,40.6,-75.47
116472957,PSEG_RESID_AGG,PSEG,PSEG,40.73,-74.17
116472959,RECO_RESID_AGG,RECO,RECO,41.09,-74.14
1288248099,SMECO_RESID_AGG,,SMECO_RESID_AGG,38.53,-76.78
2156111904,SOUTH,,SOUTH,36.6,-82.5
116472955,UGI_RESID_AGG,UGI,UGI,41.24,-75.88
1441662202,VINELAND_RESID_AGG,,VINELAND_RESID_AGG,39.48,-75.02
51288,WESTERN HUB,,WESTERN HUB,40.5,-85.5
